ID,Answer
26968505,4
27322080,3
27332335,3
27363514,3
27618457,4
27630450,2
27831894,1
27947154,2
27952572,2
27969464,4
28015653,3
28092570,4
28220506,1
28279100,3
28443714,1
28516385,1
28695603,3
28701210,2
28725148,2
28802066,1
29074746,2
29135757,2
29197407,3
29220937,1
29246936,3
29310798,1
29349634,4
29634427,4
29810805,1
29938730,2
30090975,2
30103282,1
30103343,3
30301090,4
30351914,4
30446630,4
30538256,2
30614498,4
30717875,1
30888639,4
30916139,3
30920549,3
30927330,4
31052796,2
31082653,2
31204497,1
31297308,4
31388061,2
31418038,4
31491549,2
31529728,2
31656758,3
31929624,4
32010797,3
32065696,1
32113189,2
32354842,4
32373063,3
32512700,3
32528495,3
32538170,2
32745936,4
32815343,2
32827530,3
32877429,4
32923350,3
32999142,4
33193908,1
33216442,1
33339940,2
33356590,2
33438579,1
33481747,1
33734254,2
33792933,4
33797297,1
33989028,2
34100541,2
34165479,1
34314302,1
34413826,1
34483223,4
34531294,3
34596882,3
34786269,1
34833527,3
34979667,2
34999260,2
35086193,4
35086611,1
35148524,1
35190340,1
35377022,2
35388601,1
35496107,3
35626112,4
35660762,1
35683046,4
35686634,1
35690404,1
35726050,1
35889309,3
35996402,2
36128561,4
36151996,1
36464231,2
36466099,2
36777664,4
36780224,1
36921231,3
36927037,3
36979416,3
37009957,3
37037764,2
37393415,1
37716553,2
37872188,4
37946620,1
38148049,2
38162949,1
38316553,4
38576994,1
38722560,1
38794952,2
38876311,1
39037060,3
39205257,2
39250564,1
39342484,1
39370749,3
39457290,1
39469100,4
39472570,4
39615550,2
39623148,4
39740294,4
39860584,3
39915817,1
40267484,2
40342498,1
40485081,3
40607676,3
40678959,3
40704733,1
40817799,3
40852250,4
40893184,2
41054040,3
41260821,1
41294659,4
41634618,4
41646437,4
41674658,1
41896433,3
42024282,4
42037518,2
42044798,2
42270254,3
42276779,3
42310855,4
42356310,2
42423693,4
42464984,1
42503762,1
42554751,2
42883747,4
42913341,4
42992438,2
43031177,3
43154080,1
43241506,2
43282777,1
43462849,4
43596953,4
43681892,4
43748728,3
43764994,3
43809667,4
43936611,4
44034184,3
44305696,3
44384618,3
44444743,4
44494522,4
44528461,1
44758733,4
44916808,4
44989428,2
45033275,4
45212997,4
45277639,3
45377503,1
45424161,1
45492456,1
45573277,3
45707007,2
45721011,3
45858186,4
45887033,2
46279778,4
46478391,3
46657991,3
46790338,2
47025738,3
47191375,3
47280828,4
47360608,3
47372380,2
47891041,3
48059548,3
48124050,2
48182413,2
48213959,1
48309802,1
48371253,4
48445433,4
48508684,3
48641187,4
48761892,2
48899741,1
48992758,3
49014843,4
49097615,1
49101607,1
49199740,1
49301192,3
49345576,2
49494468,3
49672872,2
49909534,2
49927530,2
49971434,3
50027320,3
50041578,4
50056043,4
50245418,3
50250811,2
50497638,4
50506871,2
50547976,3
50612944,4
50687196,4
50768900,3
50966204,3
50992179,4
51000853,1
51037962,4
51177478,4
51177767,4
51468230,4
51515317,1
51593301,4
51641638,2
51706669,4
51991177,1
52042156,3
52095705,4
52310324,3
52367944,1
52496524,3
52508855,1
52548519,2
52625207,4
52626596,1
52646281,3
52738229,3
52951154,3
53167269,4
53206407,3
53307108,4
53389303,2
53670420,1
53749565,1
53881027,1
53985915,3
54010869,4
54181581,4
54248885,2
54382171,4
54562016,4
54563893,3
54567832,2
54579633,1
54703635,4
55013257,3
55022132,2
55031777,4
55113922,2
55168507,3
55185532,3
55295938,2
55384860,3
55405606,2
55543404,4
55633512,1
55778234,4
55834141,3
55881902,4
55904212,2
55969081,1
56073710,1
56139505,2
56167998,2
56412334,3
56413209,3
56712590,2
56789552,4
56857979,2
56933634,4
56950104,2
56995889,2
57025942,2
57031941,4
57156762,3
57221803,4
57443301,1
57481416,3
57948540,4
58013283,2
58023829,4
58049946,3
58147431,2
58172260,2
58254705,2
58317090,3
58462760,3
58463253,1
58475200,4
58546022,2
58555292,3
58598675,3
58678601,1
58818792,2
58832479,1
58990864,3
59032166,2
59042732,2
59084478,3
59152721,1
59171652,1
59283896,2
59685946,1
59801676,2
59813140,4
59829685,3
59876920,3
60006119,2
60041433,4
60081463,2
60139445,4
60158284,3
60224213,1
60360747,4
60572316,1
60604361,3
60766632,1
61015678,4
61066421,3
61227364,2
61258191,3
61282049,2
61337359,4
61394815,3
61746117,3
61868774,2
61927316,1
62018518,2
62258809,1
62410737,4
62421989,1
62525579,2
62566935,1
62568620,2
62628400,4
62661238,4
62932598,1
63077572,3
63127771,2
63157537,2
63257384,2
63422381,3
63575501,3
63620958,4
63725684,4
63751215,2
64110599,3
64115714,4
64229392,3
64293316,1
64306025,4
64377473,2
64437287,1
64530635,4
64715270,3
64748858,2
65114154,2
65145549,3
65411632,4
65453053,1
65506693,1
65509215,2
65646532,3
65704876,2
65780965,2
65805259,2
65842325,2
65861936,4
65865253,3
65953217,1
66060112,3
66117519,2
66148268,4
66356435,1
66405350,4
66453737,3
66480707,3
66503529,2
66595852,2
66696281,4
66799160,2
66976830,4
67106903,4
67163001,3
67235198,3
67289981,4
67408250,2
67480852,2
67513152,4
67683385,3
67688621,3
67778544,1
67825032,4
67832199,2
67927901,4
67944966,3
68078340,4
68082849,2
68099165,2
68099673,1
68133679,4
68154151,2
68216603,1
68244553,4
68274304,3
68478450,4
68611024,2
68645504,4
68667103,1
68735218,3
68751149,4
68754837,1
69105652,2
69487234,1
69653431,1
69816409,1
69818083,1
70135990,4
70145987,3
70159892,2
70201233,3
70288331,2
70553884,4
70652366,4
70707750,2
70724683,3
70805594,3
70899055,3
70936275,2
70949010,1
70973659,3
70977664,3
71283614,4
71305448,1
71330218,2
71332468,1
71366193,2
71383278,2
71667045,3
71688526,1
71943986,4
72065904,2
72098807,4
72193999,1
72330024,1
72458278,4
72600221,3
72648975,3
73107585,4
73229523,3
73290874,2
73345500,3
73517783,1
73565277,1
73603262,3
73709065,2
73860597,3
73943128,2
74035476,4
74093956,2
74196140,1
74242894,3
74272614,1
74410650,2
74473886,4
74518209,3
74597028,3
74651804,2
74686588,3
74696366,2
74733153,1
74900896,1
74905625,3
74959346,4
75059061,3
75059555,2
75078606,1
75131081,2
75305241,2
75464392,4
75692356,2
75787193,3
75873067,1
76046406,3
76106989,2
76150336,1
76165769,2
76171840,4
76256596,2
76307536,3
76313317,4
76353307,3
76365620,2
76460663,1
76587897,2
76609139,4
76716323,3
76802508,3
76816634,4
76830921,4
76928466,3
76941799,1
77046849,3
77055680,4
77191908,1
77223130,2
77351033,2
77385014,2
77489893,1
77542276,3
77568643,3
77579186,1
77615090,4
77625307,1
77656181,1
77778761,3
77922941,4
78070257,4
78292622,3
78371095,2
78418870,2
78424571,1
78455034,4
78554132,4
78704818,1
78812539,2
78859312,4
78863985,4
79128204,3
79445573,2
79475961,1
79481164,3
79484337,4
79521846,3
79626238,1
79838033,2
79862714,3
79925355,3
80089041,4
80147902,1
80292130,4
80375966,1
80413498,2
80526466,3
80796404,3
80912341,3
81309761,3
81365939,3
81393484,4
81431090,2
81470530,1
81475034,3
81523252,1
81529488,1
81540226,2
81550727,4
81644700,1
81658464,2
81664693,3
81819221,3
81886619,4
81927587,2
81936940,4
82112909,2
82158851,4
82331983,1
82352006,4
82411272,1
82580870,2
82613409,1
82704835,4
82824301,1
82881242,4
82904957,1
82962895,1
83039782,4
83265943,4
83271023,3
83511300,4
83521315,3
83611299,3
83658769,3
83728881,3
83782100,3
83940944,1
84031466,1
84033787,1
84094119,2
84111897,3
84156694,4
84187169,2
84188564,4
84282018,3
84306779,3
84451702,4
84473599,2
84743378,1
84755024,3
84796226,4
84950682,1
84968926,1
85023084,3
85257776,3
85288088,2
85399160,3
85499220,2
85514149,4
85552240,1
85568783,4
85622370,1
85628436,3
85936937,4
86045512,1
86061857,1
86144637,2
86191535,4
86267405,1
86275141,1
86282620,4
86704920,2
86732024,4
86795766,4
86802959,1
86895680,4
86940522,4
86965358,2
87104232,1
87202322,1
87371423,3
87557229,2
87612483,4
87710423,2
87860223,2
87953343,1
88138234,3
88308145,4
88593051,1
88736969,2
88801705,1
89059540,1
89081452,4
89085362,2
89162865,3
89347218,1
89444676,2
89485108,4
89548280,2
89562203,3
89562802,4
89655213,4
89661254,4
89691137,4
89719394,1
89867153,4
89922717,3
89967925,4
89987139,4
90079815,1
90182926,1
90207524,1
90355334,4
90417297,3
90447911,2
90475835,2
90521769,3
90580976,4
90677007,4
90683541,1
90750044,1
90789704,4
90818217,4
90870753,3
91019889,2
91036685,3
91194289,2
91401452,4
91597373,1
91764749,4
91785292,3
91957842,3
92100484,2
92115100,4
92195557,4
92269580,3
92304979,4
92366164,3
92369351,1
92537096,3
92569574,1
92597137,4
92632640,1
92892478,2
92931682,1
93007242,4
93091289,2
93253888,4
93264710,3
93432075,4
93439336,3
93469217,2
93666962,4
93787020,2
93832900,2
93892625,3
93945414,2
93986394,2
94045014,4
94489790,2
94796582,4
94911851,2
94964351,2
95016442,4
95271275,1
95444847,1
95541373,2
95546236,2
95891098,4
95968879,1
96248568,2
96385441,3
96447635,2
96451423,4
96648059,3
96715271,3
96722195,4
96766603,3
96936128,2
97157258,1
97373138,3
97410704,3
97450729,2
97559200,2
97599133,2
97647301,2
97713655,1
97807607,2
98000175,1
98267927,3
98430210,1
98502966,1
98579961,3
98587143,1
98610949,2
98721567,3
98738485,3
98748827,1
99004971,3
99212436,4
99236758,1
99390631,4
99447882,4
99496052,2
99577046,1
99632910,4
99754201,4
99828105,2
99893610,1
99906994,3
99932833,2
99992286,4
